ITA,SCN,LUCALI,ABBITANTI,FUNTI,CS
Giardinello,,,,,0
Giardini-Naxos,Jardina,Giaddina,,CS,1
Giarratana,Giarratana,,,CS,1
Giarre,I Giarri,,,CS,1
Gibellina,Jibbiḍḍina,Ibbiḍḍina,,CS,1
Gioiosa Marea,,,,,0
Giuliana,,,,,0
Godrano,,,,,0
Grammichele,Grammicheli,Rammicheli,,CS,1
Graniti,,,,,0
Gratteri,,,,,0
Gravina di Catania,Gravina (già I Prachi),,,CS,1
Grotte,Grutti,,,,0
Gualtieri Sicaminò,,,,,0
Isnello,,,,,0
Isola delle Femmine,,,,,0
Ispica,Spaccafurnu,,,CS,1
Itala,,,,,0
Joppolo Giancaxio,(Jòppulu) Giancasciu,,,CS,1
Lampedusa e Linosa,Mpidusa e Linusa,,,,0
Lascari,,,,,0
Leni,,,,,0
Lentini,Lintini,Lindini,,CS,1
Leonforte,Liunforti,"Liunforti, Livrò",,CS,1
Lercara Friddi,,,,,0
Letojanni,,,,,0
Librizzi,,,,,0
Licata,Alicata,"Licata, Alicata",,CS,1
Licodia Eubea,Licuddìa,,,,0
Limina,Lìmmina,,,CS,1
Linguaglossa,Linguagrossa,,,,0
Lipari,,,,,0
Longi,,,,,0
Lucca Sicula,Lucca,,,,0
Maletto,Malettu,,,,0
Malfa,,,,,0
Malvagna,,,,,0
Mandanici,,,,,0
Maniace,Maniaci,,,,0
Marianopoli,I Manchi,,,DT1990,0
Marineo,,,,,0
Marsala,Marsala,Majssala,,CS,1
Mascali,Màscali,,,CS,1
Mascalucia,(A) Mascalucìa,,,CS,1
Mazara del Vallo,Mazzara,,,CS,1
Mazzarino,Mazzarinu,,,CS,1
Mazzarrà Sant'Andrea,,,,,0
Mazzarrone,,,,,0
Melilli,Miliḍḍi,,,CS,1
Menfi,Mènfrici,,,CS,1
Merì,,,,,0
Messina,Missina,,,CS,1
Mezzojuso,Menzijusu,,,CS,1
Milazzo,Milazzu,,,CS,1
Milena,Milocca,,,CS,1
Militello in Val di Catania,Militeḍḍu,"Militeḍḍu, Militiḍḍu",,CS,1
Militello Rosmarino,,,,,0
Milo,U Milu,,,,0
Mineo,Mineu,,,,0
Mirabella Imbaccari,,,,,0
Mirto,Mirtu,,,CS,1
Misiliscemi,,,,,0
Misilmeri,Musulumeli,,,CS,1
Misterbianco,Mustarjancu,,,CS,1
Mistretta,Mistretta,,,CS,1
Modica,Mòdica,Muòrica,,CS,1
Moio Alcantara,,,,,0
